Item ID,Item_Description,Category,Year_Month_Str,Actual,Baseline_Predicted,Method,GB_Predicted
S32-ACPPCH-SPKS,Auto-close PU Leather Pouch - Small Pink Shiny,Wallets & Cases,2025-08,1,1.0,Naive,0.7
S32-DMPOCH-BKRD,Diniwell Makeup Pouch - Black Red,Beauty & Fashion,2025-07,2,1.3,SMA(3),1.9
S32-DMPOCH-BKRD,Diniwell Makeup Pouch - Black Red,Beauty & Fashion,2025-09,2,1.3,SMA(3),1.8
S32-DMPOCH-BKRD,Diniwell Makeup Pouch - Black Red,Beauty & Fashion,2026-01,2,1.7,SMA(3),2.2
S32-DMPOCH-BLCK,Diniwell Makeup Pouch - Black Black,Beauty & Fashion,2025-08,1,1.3,SMA(3),1.0
S32-DMPOCH-BLCK,Diniwell Makeup Pouch - Black Black,Beauty & Fashion,2025-09,1,1.0,SMA(3),1.0
S32-DMPOCH-BLCK,Diniwell Makeup Pouch - Black Black,Beauty & Fashion,2025-11,2,1.0,SMA(3),1.9
S32-DMPOCH-BLCK,Diniwell Makeup Pouch - Black Black,Beauty & Fashion,2025-12,4,1.3,SMA(3),3.7
S32-DMPOCH-GRAY,Diniwell Makeup Pouch - Gray,Beauty & Fashion,2025-12,1,1.0,Naive,0.9
S32-DMPOCH-GRAY,Diniwell Makeup Pouch - Gray,Beauty & Fashion,2026-01,2,1.0,Naive,2.1
S32-DMPOCH-GREN,Diniwell Makeup Pouch - Green,Beauty & Fashion,2025-07,1,1.0,Naive,1.0
S32-DMPOCH-GREN,Diniwell Makeup Pouch - Green,Beauty & Fashion,2025-09,1,1.0,Naive,0.8
S32-DMPOCH-GREN,Diniwell Makeup Pouch - Green,Beauty & Fashion,2026-01,2,1.0,SMA(3),2.2
S32-DMPOCH-NAVY,Diniwell Makeup Pouch - Navy,Beauty & Fashion,2026-01,2,1.0,SMA(3),2.1
S32-DMPOCH-PINK,Diniwell Makeup Pouch - Pink,Beauty & Fashion,2025-09,1,1.0,Naive,1.0
S32-DMPOCH-PINK,Diniwell Makeup Pouch - Pink,Beauty & Fashion,2025-11,1,1.0,SMA(3),1.0
S32-DMPOCH-PINK,Diniwell Makeup Pouch - Pink,Beauty & Fashion,2026-01,2,1.0,SMA(3),2.3
S32-FRNTOL-BLCK,Front Pocket Toiletry Organizer - Black,Organizers,2025-12,1,1.3,SMA(3),1.0
S32-FRNTOL-BRWN,Front Pocket Toiletry Organizer - Brown,Organizers,2025-07,1,1.0,Naive,0.9
S32-FRNTOL-GRAY,Front Pocket Toiletry Organizer - Gray,Organizers,2025-07,1,1.0,SMA(3),1.0
S32-FRNTOL-GRAY,Front Pocket Toiletry Organizer - Gray,Organizers,2026-01,1,1.0,SMA(3),1.0
S32-FRNTOL-NAVY,Front Pocket Toiletry Organizer - Navy,Organizers,2025-07,1,1.0,Naive,0.9
S32-FRNTOL-NAVY,Front Pocket Toiletry Organizer - Navy,Organizers,2025-11,1,1.0,SMA(3),0.9
S32-MKYHDR-BLUE,Metal Key Holder - Blue,Organizers,2025-07,3,1.0,SMA(3),2.7
S32-MKYHDR-BLUE,Metal Key Holder - Blue,Organizers,2025-09,4,1.7,SMA(3),3.8
S32-MKYHDR-BLUE,Metal Key Holder - Blue,Organizers,2025-11,2,2.7,SMA(3),1.9
S32-MKYHDR-BLUE,Metal Key Holder - Blue,Organizers,2025-12,1,3.0,SMA(3),0.9
S32-MKYHDR-BLUE,Metal Key Holder - Blue,Organizers,2026-01,1,2.3,SMA(3),0.7
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-07,1,2.0,SMA(3),1.0
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-08,3,1.7,SMA(3),2.8
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-09,1,2.0,SMA(3),1.1
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-10,1,1.7,SMA(3),1.1
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-11,3,1.7,SMA(3),2.8
S32-MKYHDR-GREN,Metal Key Holder - Green,Organizers,2025-12,5,1.7,SMA(3),4.7
S32-MKYHDR-ORNG,Metal Key Holder - Orange,Organizers,2025-08,1,1.0,SMA(3),0.9
S32-MKYHDR-ORNG,Metal Key Holder - Orange,Organizers,2025-11,3,1.0,SMA(3),2.8
S32-MKYHDR-ORNG,Metal Key Holder - Orange,Organizers,2025-12,3,1.7,SMA(3),2.4
S32-MKYHDR-ORNG,Metal Key Holder - Orange,Organizers,2026-01,5,2.3,SMA(3),4.1
S32-MKYHDR-YLLW,Metal Key Holder - Yellow,Organizers,2025-07,2,1.7,SMA(3),1.9
S32-MKYHDR-YLLW,Metal Key Holder - Yellow,Organizers,2025-08,1,2.0,SMA(3),1.0
S32-MKYHDR-YLLW,Metal Key Holder - Yellow,Organizers,2025-11,1,2.0,SMA(3),1.0
S32-MKYHDR-YLLW,Metal Key Holder - Yellow,Organizers,2025-12,4,1.3,SMA(3),3.9
S32-MKYHDR-YLLW,Metal Key Holder - Yellow,Organizers,2026-01,4,2.0,SMA(3),3.7
S32-RETRHL-NEO3,Retractable Highlighter - Neon Colors - Set of 3,Stationery,2025-09,1,1.0,SMA(3),1.0
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2025-07,3,9.0,SMA(3),3.2
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2025-08,3,3.0,SMA(3),3.5
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2025-09,3,3.0,SMA(3),3.6
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2025-10,3,3.0,SMA(3),3.6
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2025-12,15,3.0,SMA(3),12.6
S32-RETRHL-NGRN,Retractable Highlighter - Refill - Neon Green,Stationery,2026-01,9,7.0,SMA(3),8.4
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2025-07,3,5.0,SMA(3),3.3
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2025-08,6,5.0,SMA(3),5.4
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2025-09,6,6.0,SMA(3),5.3
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2025-11,3,5.0,SMA(3),2.1
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2025-12,9,5.0,SMA(3),8.3
S32-RETRHL-NORG,Retractable Highlighter - Refill - Neon Orange,Stationery,2026-01,9,6.0,SMA(3),9.4
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2025-08,3,6.0,SMA(3),3.3
